Date,Tweet,Stock Name,Company Name
2022-07-07 18:32:41+00:00,"100% FREE 👇 

https://t.co/cDO4uFX42f

$SPX $QQQ $SPY $AAPL $BABA $NFLX $BA $COST $TSLA $SQ $FB $GLD $BAC $MRNA $ZM $PTON $NVAX $NVDA $PYPL $NKLA $AMD $AMZN $MSFT  $SNAP $CCL $DAL $BABA $TWTR $NOK $CSCO $PENN $INTC $ACB $CRON $LUV $INO $NIO $VIX $F $GE $TWTR $RCL $MU $DIS",BA,The Boeing Company
2022-07-07 13:51:00+00:00,"Virgin Galactic, $SPCE, announces deal with Boeing, $BA, subsidiary to build additional aircraft ""motherships.""",BA,The Boeing Company
2022-07-06 20:05:32+00:00,"Virgin Galactic $SPCE signs a deal with Boeing $BA subsidiary Aurora Flight Sciences to build two additional carrier aircraft (or ""motherships""), with the first of the two expected to fly in 2025:
https://t.co/81KrBN1Dsw",BA,The Boeing Company
2022-07-01 16:51:24+00:00,"*BOEING: DISAPPOINTING THAT GEOPOLITICS CONSTRAINS US EXPORTS

*BOEING: WE ARE HOPEFUL DELIVERIES TO CHINA WILL RESUME PROMPTLY
 $BA",BA,The Boeing Company
2022-06-26 23:03:03+00:00,"$TSLA - Over 729 - Trade Idea 💡 -  July 1 800C

Closed at 737.12

TSLA needs through 752 to move towards 800-821

Avg trade under 800

Calls can work above 729 or 752 this week
-
$AAPL $AFRM $AMD $AMZN $BA $FB $LCID $MSFT $NFLX $NIO $GS $NVDA $ROKU $UPST $SPX $SPY $ZM $LRCX https://t.co/czpoSYKEef",BA,The Boeing Company
2022-06-21 02:18:46+00:00,"Here are my zones for tomorrow: 

$AAPL $BA $TSLA $NVDA

325 ❤️'s for my $SPY thesis https://t.co/w7COo626Wv",BA,The Boeing Company
2022-06-19 16:12:26+00:00,"AIR INDIA IN TALKS WITH AIRBUS, BOEING TO BUY UP TO 300 NARROWBODY JETS -SOURCES
$BA",BA,The Boeing Company
2022-06-16 14:16:02+00:00,1 ❤️ and I’ll take $BA to $150 by Next Friday,BA,The Boeing Company
2022-06-15 00:21:11+00:00,"Here's the intro of today's #MarketOutlook video from 
@MarketScholars 

Watch the full video for free here:

https://t.co/oRYtVYqnd7

Mentioned: $SPY $SPX $QQQ $IWM $RUT $UUP $TLT $TNX $EEM $EFA $USO $FXI $BABA $PDD $AMZN $ORCL $FDX $UPS $MPWR $BA $KO $PG $NVDA $AAPL $XLU $TROW https://t.co/5LbEv48LlX",BA,The Boeing Company
2022-06-13 21:34:53+00:00,Gouging at the Boeing credit default swap desk shall be vigorously investigated! $BA @PlugInFUD @ewarren @BernieSanders https://t.co/T58sygfqc9,BA,The Boeing Company
2022-06-13 19:41:50+00:00,"$BA CEO says airplane demand is ""as robust as I have ever seen""",BA,The Boeing Company
2022-06-12 23:03:03+00:00,"$TSLA - Under 686 - Trade Idea 💡 -  June 17 620P

Closed at 696.69

If TSLA fails to hold 686 this week it can back test 629, 600 this month.

Under 600 can drop to 546, 527
-
$AAPL $AFRM $AMD $AMZN $BA $FB $LCID $MSFT $NFLX $NIO $ES_F $NVDA $ROKU $UPST $SPX $SPY $TGT $ZM $LRCX https://t.co/IbaCWglRMS",BA,The Boeing Company
2022-06-10 23:37:53+00:00,"Have a great weekend everyone!

I’ll be taking a much needed vacation all of next week. I’d encourage each of you to practice creating your own watchlists and building trust in yourself. 

My favorite setups: $MU $NVDA $GOOGL $CHWY $PANW $ETSY $BA $SQ",BA,The Boeing Company
2022-06-10 13:33:20+00:00,"BIDEN ADMINISTRATION TO SCRAP PROPOSED TRUMP PAINT SCHEME FOR NEW AIR FORCE ONE OVER ENGINEERING ISSUES, COST -- ADMINISTRATION OFFICIAL
$BA",BA,The Boeing Company
2022-06-08 15:01:22+00:00,"*BOEING’S F-15EX FIGHTER FOUND TO HAVE CYBER VULNERABILITIES
$BA",BA,The Boeing Company
2022-06-05 23:03:03+00:00,"$TSLA - Under 700 - Trade Idea 💡 -  June 10 600P

Closed at 703.55

If TSLA fails to hold 700 we can see a move to 659, 644

I would wait for 744+ to start considering calls
-
$AAPL $AFRM $AMD $AMZN $BA $FB $LCID $MSFT $NFLX $TGT $MRNA $NVDA $ROKU $UPST $SPX $SPY $CAT $ZM $LRCX https://t.co/hWcQZgOYZT",BA,The Boeing Company
2022-06-05 23:00:39+00:00,"⚡️Watchlist for 6/6/22⚡️
$SPY 
📈Calls over 412.85
📉Puts Under 409.50
$NVDA
📈Calls Over 191
📉Puts Under 185
$TSLA 
📈Calls Over 720
📉Puts Under 700/695
$BA
📈Calls Over 140.70
📉Puts Under 138
💸LET'S MAKE SOME MONEY!💸
-Ask any questions u have in the comments!",BA,The Boeing Company
